" is out of stock!"," ขายหมดแล้ว!"
"404 Page Not Found","404 ไม่พบหน้าดังกล่าว"
"Account data has successfully been updated","อัปเดตข้อมูลบัญชีสำเร็จแล้ว"
"Add review","เพิ่มรีวิว"
"Adding a review ...","กำลังเพิ่มรีวิว ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","ที่อยู่ที่ระบุในขั้นตอน Checkout มีข้อมูลที่ไม่ถูกต้อง กรุณาตรวจสอบว่าได้กรอกข้อมูลที่จำเป็นครบทุกช่องแล้ว รวมถึงติดต่อเราทาง {email} เพื่อแก้ไขปัญหานี้ในอนาคต คำสั่งซื้อของคุณได้ถูกยกเลิกแล้ว"
"Allow notification about the order","เปิดแจ้งเตือนคำสั่งซื้อนี้"
"Are you sure you would like to remove this item from the shopping cart?","คุณแน่ใจหรือว่าต้องการนำสินค้านี้ออกจากรถเข็น?"
"Checkout","Checkout"
"Columns","คอลัมน์"
"Compare Products","เปรียบเทียบสินค้า"
"Compare products","เปรียบเทียบสินค้า"
"Confirm your order","ยืนยันคำสั่งซื้อของคุณ"
"Error refreshing user token. User is not authorized to access the resource","เกิดข้อผิดพลาดในการรีเฟรช Token ผู้ใช้ ผู้ใช้ไม่ได้รับอนุญาตให้เข้าถึงทรัพยากรนี้"
"Error with response - bad content-type!","เกิดข้อผิดพลาดกับข้อมูลตอบกลับ - Content-Type ไม่เหมาะสม!"
"Error: Error while adding products","ข้อผิดพลาด: เกิดข้อผิดพลาดขณะเพิ่มสินค้า"
"Extension developers would like to thank you for placing an order!","ผู้พัฒนาส่วนเสริมอยากจะขอบคุณคุณที่ทำการสั่งซื้อ!"
"Field is required","ฟิลด์จำเป็นต้องกรอก"
"Field is required.","ฟิลด์จำเป็นต้องกรอก"
"Grand total","ยอดรวมทั้งหมด"
"Home Page","หน้าหลัก"
"In stock!","มีสินค้า!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","เกิดข้อผิดพลาดภายในแอปขณะรีเฟรช Token กรุณาล้างที่เก็บข้อมูลแล้วรีเฟรชหน้าเว็บ"
